side,entry_day,pump_cell,fund_cell,era,n_events,n_weeks,mean_gross_bp,mean_funding_bp,mean_net45_bp,mean_net90_bp,se_net45_bp_wk,median_net45_bp,win_rate_net45
long,1,pump_le0,fund_neg,e2526,39,31,-644.4756984991595,297.7505384615384,-391.72516003762115,-436.725160037621,895.1411542808257,-1678.6984777036187,0.28205128205128205
long,1,pump_le0,fund_neg,pre2025,29,27,-1147.514425302289,228.98883793103448,-963.5255873712545,-1008.5255873712543,448.25286025223613,-1116.0680579659538,0.3103448275862069
long,1,pump_le0,fund_neg,post2025,39,31,-644.4756984991595,297.7505384615384,-391.72516003762115,-436.725160037621,931.5534427680437,-1678.6984777036187,0.28205128205128205
long,2,pump_le0,fund_neg,pooled,68,59,-517.8703160113591,209.03332500000005,-353.8369910113593,-398.836991011359,496.0508995483181,-958.1610664474927,0.2647058823529412
long,2,pump_le0,fund_neg,e2122,9,9,-362.98815621558975,204.99,-202.99815621558977,-247.9981562155898,502.1257697298971,-415.74656321839024,0.4444444444444444
long,2,pump_le0,fund_neg,e2324,26,23,-806.1702286396325,155.9063576923077,-695.2638709473248,-740.2638709473244,398.3417918645536,-967.5451020841483,0.23076923076923078
long,2,pump_le0,fund_neg,e2526,33,27,-332.9655193394447,251.99366060606062,-125.97185873338397,-170.97185873338407,964.0336263754815,-1083.1858126363575,0.24242424242424243
long,2,pump_le0,fund_neg,pre2025,35,32,-692.2091243020213,168.5278657142857,-568.6812585877357,-613.6812585877357,323.46307025534344,-793.3283416195861,0.2857142857142857
long,2,pump_le0,fund_neg,post2025,33,27,-332.9655193394447,251.99366060606062,-125.97185873338397,-170.97185873338407,914.3925047807711,-1083.1858126363575,0.24242424242424243
short,1,pump_le0,fund_flat,pooled,356,162,92.74881214175976,-19.573298876404493,28.17551326535523,-16.824486734644726,455.61969652606234,684.1824856016201,0.6544943820224719
short,1,pump_le0,fund_flat,e2122,69,31,155.52668733302892,-0.911288405797103,109.6153989272319,64.61539892723175,428.16809867695713,505.89830508474637,0.6086956521739131
