side,entry_day,cell,era,n_events,n_weeks,mean_gross_bp,mean_funding_bp,mean_net45_bp,mean_net90_bp,se_net45_bp_wk,median_net45_bp,win_rate_net45,feature
short,1,fund_flat,e2526,259,74,-107.11795512121232,-63.82140386100386,-215.9393589822161,-260.9393589822162,614.0604283815571,708.2069336476127,0.6254826254826255,fund_cell
short,1,fund_flat,pre2025,368,125,331.51528397468195,-1.5258179347826082,284.98946603989936,239.98946603989938,144.26004997527937,521.1369111120116,0.625,fund_cell
short,1,fund_flat,post2025,259,74,-107.11795512121232,-63.82140386100386,-215.9393589822161,-260.9393589822162,609.7704625411194,708.2069336476127,0.6254826254826255,fund_cell
short,1,fund_pos,pooled,124,66,-191.34344595943548,115.84732499999998,-120.49612095943547,-165.4961209594354,384.09707783240196,951.2251288552437,0.6451612903225806,fund_cell
short,1,fund_pos,e2122,36,14,-0.20463456153681073,128.85941944444446,83.65478488290775,38.65478488290771,757.3596764156356,638.4888285012711,0.6944444444444444,fund_cell
short,1,fund_pos,e2324,56,32,-73.63995663074377,111.04074464285715,-7.599211987886786,-52.59921198788657,578.0594115993443,1579.7437296669445,0.6964285714285714,fund_cell
short,1,fund_pos,e2526,32,20,-612.3557151072819,109.620234375,-547.7354807322819,-592.735480732282,705.7163307145673,42.208513349690435,0.5,fund_cell
short,1,fund_pos,pre2025,92,46,-44.90439582105405,118.0132695652174,28.108873744163297,-16.8911262558366,435.0951713333103,1331.455351629573,0.6956521739130435,fund_cell
short,1,fund_pos,post2025,32,20,-612.3557151072819,109.620234375,-547.7354807322819,-592.735480732282,713.2522372108556,42.208513349690435,0.5,fund_cell
short,1,fund_none,pooled,0,,,,,,,,,fund_cell
short,1,fund_none,e2122,0,,,,,,,,,fund_cell
short,1,fund_none,e2324,0,,,,,,,,,fund_cell
short,1,fund_none,e2526,0,,,,,,,,,fund_cell
short,1,fund_none,pre2025,0,,,,,,,,,fund_cell
short,1,fund_none,post2025,0,,,,,,,,,fund_cell
short,2,fund_neg,pooled,124,90,482.7764699066267,-258.4614185483871,179.3150513582395,134.3150513582396,328.3358109533626,726.5962366589415,0.6693548387096774,fund_cell
short,2,fund_neg,e2122,14,12,303.09127020011124,-197.1388928571429,60.95237734296835,15.952377342968399,416.6158326980131,347.7509470722477,0.6428571428571429,fund_cell
short,2,fund_neg,e2324,50,36,806.0862073202832,-187.83478199999996,573.2514253202834,528.2514253202833,308.1355339119296,843.0977494441814,0.72,fund_cell
short,2,fund_neg,e2526,60,42,255.2782353267666,-331.62553833333345,-121.34730300656689,-166.34730300656673,633.5207552606997,838.8323343036312,0.6333333333333333,fund_cell
