symbol,d0,era,pump01,crowd7d,d0_bars,funding_events_d0_d7
KAITOUSDT,2025-02-21,e2526,-0.060858970453853134,2,24,48
KASUSDT,2023-11-17,e2324,0.03313696612665695,3,22,48
KATUSDT,2026-03-03,e2526,-0.3991433021806854,1,24,48
KDAUSDT,2024-09-19,e2324,-0.0824558801720302,4,24,48
KEEPUSDT,2021-06-22,e2122,-0.131131773004168,1,21,23
KERNELUSDT,2025-04-15,e2526,-0.21529484029484025,6,24,48
KEYUSDT,2023-05-25,e2324,-0.06597325408618127,0,24,24
KGENUSDT,2025-10-08,e2526,-0.4184631177592022,5,24,48
KITEUSDT,2025-10-30,e2526,0.011176230066784809,5,24,48
KLAYUSDT,2021-10-12,e2122,0.07643439882305736,0,21,24
KMNOUSDT,2024-12-21,e2324,-0.16664914309746615,8,24,48
KOMAUSDT,2024-12-11,e2324,-0.13331250000000006,9,24,48
LABUSDT,2025-10-18,e2526,-0.339061381240643,7,24,48
LAUSDT,2025-06-06,e2526,-0.2022304832713755,5,24,192
LAYERUSDT,2025-02-12,e2526,-0.0802257386300762,2,24,79
LDOUSDT,2022-09-23,e2122,-0.06354515050167231,1,24,24
LEVERUSDT,2023-03-31,e2324,0.06337325349301404,2,24,24
LIGHTUSDT,2025-09-28,e2526,0.5491281040113376,7,24,48
LINEAUSDT,2025-09-02,e2526,-0.2710799710074898,4,24,48
LISTAUSDT,2024-06-21,e2324,-0.08309796343094988,3,24,48
LITEUSDT,2026-05-16,e2526,0.016306333580399013,9,24,0
LLYUSDT,2026-06-02,e2526,0.002880567250166388,18,24,0
LOKAUSDT,2024-09-25,e2324,-0.09457422758100986,5,24,48
LOOMUSDT,2023-10-12,e2324,0.3028100775193796,1,24,48
LPTUSDT,2021-11-11,e2122,-0.14597926183743015,0,21,23
LQTYUSDT,2023-03-11,e2324,0.016462264150943318,2,24,24
LSKUSDT,2024-01-26,e2324,-0.04929577464788726,2,24,48
LUMIAUSDT,2024-12-19,e2324,-0.04387019230769229,7,24,48
LUNA2USDT,2022-09-10,e2122,0.11296786242315782,2,21,24
LYNUSDT,2025-10-07,e2526,0.0295027703820967,6,24,192
MAGICUSDT,2023-01-25,e2324,-0.052093023255813886,2,21,24
