side,entry_day,cell,era,n_events,n_weeks,mean_gross_bp,mean_funding_bp,mean_net45_bp,mean_net90_bp,se_net45_bp_wk,median_net45_bp,win_rate_net45,feature
long,1,fund_pos,pooled,103,63,-139.3920523684647,-97.90513883495146,-282.2971912034162,-327.29719120341616,335.7844568740687,-762.7051627195181,0.3106796116504854,fund_cell
long,1,fund_pos,e2122,5,5,-1531.4010790447517,-149.01418,-1725.4152590447518,-1770.4152590447516,337.03867497053176,-1262.4212137788327,0.0,fund_cell
long,1,fund_pos,e2324,44,27,-259.179097463567,-91.6155340909091,-395.7946315544761,-440.7946315544761,359.8492399213345,-605.3582312869264,0.3181818181818182,fund_cell
long,1,fund_pos,e2526,54,31,87.10193129016388,-98.29768333333334,-56.195752043169406,-101.1957520431694,563.5232084303974,-657.6120911420251,0.3333333333333333,fund_cell
long,1,fund_pos,pre2025,49,32,-388.9976670126675,-97.4725387755102,-531.4702057881776,-576.4702057881777,335.87690306829967,-776.475619014177,0.2857142857142857,fund_cell
long,1,fund_pos,post2025,54,31,87.10193129016388,-98.29768333333334,-56.195752043169406,-101.1957520431694,557.8562085341234,-657.6120911420251,0.3333333333333333,fund_cell
long,1,fund_none,pooled,64,6,85.79505665372476,-2.74065,38.054406653724726,-6.9455933462752615,174.55118454301072,52.08188979672228,0.53125,fund_cell
long,1,fund_none,e2122,0,,,,,,,,,fund_cell
long,1,fund_none,e2324,0,,,,,,,,,fund_cell
long,1,fund_none,e2526,64,6,85.79505665372476,-2.74065,38.054406653724726,-6.9455933462752615,178.0822713416804,52.08188979672228,0.53125,fund_cell
long,1,fund_none,pre2025,0,,,,,,,,,fund_cell
long,1,fund_none,post2025,64,6,85.79505665372476,-2.74065,38.054406653724726,-6.9455933462752615,176.3782405334181,52.08188979672228,0.53125,fund_cell
long,2,fund_neg,pooled,75,58,454.9413525559974,337.28819466666675,747.2295472226639,702.2295472226639,603.986998077612,-524.2474602584697,0.36,fund_cell
long,2,fund_neg,e2122,6,6,-1065.5505388188274,163.73398333333333,-946.8165554854941,-991.8165554854941,562.6237372015631,-1228.4335890939244,0.16666666666666666,fund_cell
long,2,fund_neg,e2324,26,20,15.651994646953293,322.46626153846154,293.1182561854149,248.11825618541485,456.83991233617945,-362.1540678987363,0.38461538461538464,fund_cell
long,2,fund_neg,e2526,43,32,932.7198328788837,370.4671604651163,1258.1869933439998,1213.1869933439996,990.3812673253701,-524.2474602584697,0.37209302325581395,fund_cell
